SongTitle,Style,Composer,Performer,URL
A la Orilla del Mar,Bolero,Valerio Longoria,,
Ingrata Mujer,Bolero,Jose Pena,Conjunto Fiesta De Los Hermanos Cantu,http://frontera.library.ucla.edu/recordings/ingrata-mujer-36
Castigame,Bolero,Manuel S. Acuna,Conjunto Bernal,http://frontera.library.ucla.edu/recordings/castigame-25
Olvidando,Bolero,Armando Almendarez,Conjunto San Antonio Alegre,http://frontera.library.ucla.edu/recordings/olvidando
Negro Destino,Bolero,Eva Ybarra,Eva Ybarra Y Su Conjunto,http://frontera.library.ucla.edu/recordings/negro-destino-0
Cielito Lindo,Huapango,,Narciso Martinez,http://frontera.library.ucla.edu/recordings/cielito-lindo-11
El Lucero,Huapango,,Valerio Longoria,http://frontera.library.ucla.edu/recordings/el-lucero-40
El Pavido Navido,Huapango,,El Palomo Y El Gorrion,http://frontera.library.ucla.edu/recordings/el-p%C3%A1vido-n%C3%A1vido-9
El Pajaro Cu,Huapango,,Esteban Jordan Y Su Conjunto,http://frontera.library.ucla.edu/recordings/el-pajaro-cu-3
El Zopilote Mojado,Pasodoble,,Narciso Martinez,http://frontera.library.ucla.edu/recordings/el-zopilote-mojado-54
Amor De Torero,Pasodoble,,Valerio Longoria Y Su Conjunto,http://frontera.library.ucla.edu/recordings/amor-de-torero-0
Loma Blanca,Pasodoble,Ernesto Guerra,Conjunto Del Valle,http://frontera.library.ucla.edu/recordings/loma-blanca-0
El Pajuelazo,Polka,Ruben Vela,Ruben Vela,http://frontera.library.ucla.edu/recordings/el-pajuelazo-7
El Aguacero,Polka,"Santiago Jimenez, Sr.","Santiago Jimenez, Sr.",http://frontera.library.ucla.edu/recordings/el-aguacero-24
La Barranca,Polka,,Narciso Martinez,http://frontera.library.ucla.edu/recordings/la-barranca-2
Nuevo Laredo,Polka,Gilberto Lopez,Gilberto Lopez,http://frontera.library.ucla.edu/recordings/nuevo-laredo-polka
Atotonilco,Polka,,Tony de la Rosa Y Su Conjunto,http://frontera.library.ucla.edu/recordings/atotonilco-62
Muchachos Alegres,Polka,,Narciso Martinez,http://frontera.library.ucla.edu/recordings/muchachos-alegres-1
San Antonio Polka,Polka,,Blas Jasso,http://frontera.library.ucla.edu/recordings/san-antonio-polka-0
El Cerro De La Silla,Polka,Antonio Tanguma,Los Huracanes Y Estrellas Del Valle,http://frontera.library.ucla.edu/recordings/el-cerro-de-la-silla
El Circo,Polka,Tony De La Rosa,Tony De La Rosa,http://frontera.library.ucla.edu/recordings/el-circo-9
Nuevo Laredo,Polka,Gilberto Lopez,Los Pavos Reales,http://frontera.library.ucla.edu/recordings/nuevo-laredo-31
Carmen de Amor,Polka,,Narciso Martinez,http://frontera.library.ucla.edu/recordings/carmen-de-amor-3
Brincando Cercas,Ranchera,Salome Gutierrez,Luis Gonzalez,http://frontera.library.ucla.edu/recordings/brincando-cercas-0
Las Gaviotas,Ranchera,,Manuel Guerrero Y Su Conjunto,http://frontera.library.ucla.edu/recordings/las-gaviotas-13
Cada Vez Que Cae la Tarde,Ranchera,"Santiago Jimenez, Jr.","Santiago Jimenez, Jr.",http://frontera.library.ucla.edu/recordings/cada-vez-que-cae-la-tarde-11
Mi Unico Camino,Ranchera,,Conjunto Bernal,http://frontera.library.ucla.edu/recordings/mi-unico-camino-1
Ay Te Dejo en San Antonio,Ranchera,"Santiago Jimenez, Sr.",Flaco Jimenez,http://frontera.library.ucla.edu/recordings/ay-te-dejo-en-san-antonio-9
Marina,Ranchera,Manuel Guerrero,Manuel Guerrero,http://frontera.library.ucla.edu/recordings/marina-1
Ay Te Dejo En San Antonio,Ranchera,"Santiago Jimenez, Sr.","Flaco Jimenez y Juan Viesca, vocal: Santiago Jimenez Y Flaco Jimenez",http://frontera.library.ucla.edu/recordings/ay-te-dejo-en-san-antonio
Ojitos Verdes,Ranchera,Pepe Albarran,Jose Merlin Trujillo,http://frontera.library.ucla.edu/recordings/ojitos-verdes-38
De China A Los Ramones,Redova,Narciso Mart’nez,Narciso Martinez,http://frontera.library.ucla.edu/recordings/de-china-los-ramones-0
A Medio Vuelo,Redova,Juan Lopez,Juan Lopez con Su Conjunto,http://frontera.library.ucla.edu/recordings/medio-vuelo
El Botin Boleado,Redova,Narciso Martinez,Lalo Garcia Y Su Conjunto,http://frontera.library.ucla.edu/recordings/el-botin-boleado
Buscando La Salida,Redova,Juan Torres,Los Gavilanes,http://frontera.library.ucla.edu/recordings/buscando-la-salida-1
Los Siete Pasos,Schottische,,Bruno Villarreal,http://frontera.library.ucla.edu/recordings/los-sietepasos-0
Granado,Schottische,,Trio San Antonio,http://frontera.library.ucla.edu/recordings/granado-0
El Charro,Schottische,,Jesus Casiano,http://frontera.library.ucla.edu/recordings/el-charro-11
Carolina,Vals,"Santiago Jimenez, Sr.","Santiago Jimenez - accordion, Lorenzo Caballero - guitar, Ismael Gonzales - tolaloche (string bass)",http://frontera.library.ucla.edu/recordings/carolina-31
Amor en La Playa,Vals,Pedro Ayala,Pedro Ayala y su Conjunto Del Rio,http://frontera.library.ucla.edu/recordings/amor-en-la-playa-13
La Tuna,Vals bajito,"Santiago Jimenez, Sr.","Santiago Jimenez, Sr.",http://frontera.library.ucla.edu/recordings/la-tuna
Odiame,Vals Peruano,Rafael Otero,Conjunto Bernal,http://frontera.library.ucla.edu/recordings/odiame
